Handle,Title,Custom Product Type,Tags,Variant SKU
ishya-blockprinted-kurta-set,Ishya Blockprinted Kurta  (Set of 2),Kurta Sets,"Category_Kurta Sets, Category_Women, Collection_Rozana, kurta for Women, Neck Type_V Neck, Price_3K to 4K",772
ahaana-blockprinted-kurta-set,Ahaana Blockprinted Kurta (Set of 2),Kurta Sets,"Category_Kurta Sets, Category_Women, Collection_Rozana, kurta for Women, Neck Type_V Neck, Price_3K to 4K",766
seher-blockprinted-kurta-set,Seher Blockprinted Kurta (Set of 2),Kurta Sets,"Category_Kurta Sets, Category_Women, Collection_Rozana, kurta for Women, Neck Type_V Neck, Price_3K to 4K",760
mihira-blockprinted-kurta-set,Mihira Blockprinted Kurta (Set of 3),Kurta Sets,"Category_Kurta Sets, Category_Women, Collection_Rozana, kurta for Women, Neck Type_V Neck, Price_3K to 4K",754
bahar-blockprinted-kurta-set,Bahar Blockprinted Kurta (Set of 3),Kurta Sets,"Category_Kurta Sets, Category_Women, Collection_Rozana, kurta for Women, Neck Type_V Neck, Price_3K to 4K",748
keya-blockprinted-kurta-set,Keya Blockprinted Kurta (Set of 3),Kurta Sets,"Category_Kurta Sets, Category_Women, Collection_Rozana, kurta for Women, Neck Type_V Neck, Price_3K to 4K",742
ekta-kaftan,Ekta Kaftan,Kaftan,"Category_Kaftan, Category_Kurta, Category_Lounge Wear, Category_Women, Collection_Fursat ke Pal, Color_White, Neck Type_V Neck, Price_1K to 2K, Style_Short",727
barna-kaftan,Barna Kaftan,Kaftan,"Category_Kaftan, Category_Kurta, Category_Lounge Wear, Category_Women, Collection_Fursat ke Pal, Color_Mustard, Neck Type_V Neck, Price_1K to 2K, Style_Short",721
saukhayada-kaftan,Saukhayada Kaftan,Kaftan,"Category_Kaftan, Category_Kurta, Category_Lounge Wear, Category_Women, Collection_Fursat ke Pal, Color_Ice Blue, Neck Type_V Neck, Price_1K to 2K, Style_Short",715
chesna-kaftan,Chesna Kaftan,Kaftan,"Category_Kaftan, Category_Kurta, Category_Lounge Wear, Category_Women, Collection_Fursat ke Pal, Color_Blue, Neck Type_V Neck, Price_1K to 2K, Style_Short",709
mohlat-kaftan,Mohlat Kaftan,Kaftan,"Category_Kaftan, Category_Kurta, Category_Lounge Wear, Category_Women, Collection_Fursat ke Pal, Color_Sea Blue, Neck Type_V Neck, Price_1K to 2K, Style_Short",703
subhita-kaftan,Subhita Kaftan,Kaftan,"Category_Kaftan, Category_Kurta, Category_Lounge Wear, Category_Women, Collection_Fursat ke Pal, Color_Light Blue, Neck Type_V Neck, Price_1K to 2K, Style_Short",697
